PERIODO,COLE_BILINGUE,COLE_DEPTO_UBICACION,COLE_JORNADA,COLE_NATURALEZA,ESTU_GENERO,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,84.0,72.0,77.0,71.0,68.0,365.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,63.0,52.0,57.0,59.0,53.0,279.0
20172,N,BOGOTA,TARDE,OFICIAL,F,49.0,34.0,46.0,45.0,51.0,222.0
20172,N,BOGOTA,TARDE,OFICIAL,F,49.0,45.0,45.0,55.0,52.0,246.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,48.0,42.0,37.0,43.0,47.0,213.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,47.0,42.0,42.0,44.0,42.0,214.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,74.0,64.0,64.0,60.0,71.0,327.0
20172,N,BOGOTA,TARDE,OFICIAL,F,42.0,47.0,36.0,48.0,52.0,227.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,47.0,51.0,40.0,42.0,47.0,226.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,77.0,73.0,61.0,68.0,68.0,341.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,41.0,53.0,48.0,56.0,52.0,257.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,40.0,38.0,37.0,32.0,43.0,188.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,33.0,32.0,34.0,39.0,45.0,186.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,85.0,74.0,75.0,76.0,76.0,380.0
20172,N,BOGOTA,TARDE,OFICIAL,M,45.0,53.0,35.0,54.0,43.0,231.0
20172,N,BOGOTA,UNICA,OFICIAL,F,67.0,53.0,55.0,51.0,58.0,276.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,66.0,75.0,66.0,61.0,71.0,340.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,54.0,49.0,61.0,51.0,48.0,262.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,63.0,53.0,50.0,50.0,41.0,248.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,F,40.0,34.0,31.0,37.0,39.0,178.0
20172,N,BOGOTA,TARDE,OFICIAL,F,44.0,36.0,40.0,41.0,46.0,205.0
20172,N,BOGOTA,UNICA,OFICIAL,F,51.0,47.0,43.0,50.0,47.0,235.0
20172,N,BOGOTA,SABATINA,OFICIAL,F,41.0,35.0,39.0,39.0,42.0,195.0
20172,,BOGOTA,SABATINA,NO OFICIAL,M,43.0,35.0,38.0,44.0,45.0,203.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,51.0,51.0,58.0,61.0,56.0,280.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,36.0,45.0,40.0,52.0,39.0,217.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,56.0,66.0,69.0,64.0,69.0,331.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,38.0,43.0,49.0,46.0,54.0,236.0
20181,N,BOGOTA,COMPLETA,NO OFICIAL,M,76.0,73.0,67.0,65.0,70.0,347.0
20181,N,BOGOTA,COMPLETA,NO OFICIAL,M,76.0,73.0,67.0,65.0,70.0,347.0
20172,N,BOGOTA,TARDE,OFICIAL,M,41.0,37.0,48.0,42.0,40.0,208.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,43.0,44.0,51.0,53.0,43.0,237.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,51.0,62.0,58.0,62.0,66.0,306.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,50.0,44.0,38.0,49.0,52.0,230.0
20181,N,BOGOTA,MAÑANA,NO OFICIAL,F,42.0,40.0,32.0,39.0,39.0,189.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,49.0,50.0,47.0,53.0,58.0,259.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,65.0,52.0,50.0,54.0,60.0,274.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,68.0,71.0,68.0,63.0,67.0,337.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,47.0,62.0,60.0,63.0,62.0,303.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,68.0,56.0,67.0,62.0,64.0,313.0
20181,,BOGOTA,SABATINA,NO OFICIAL,F,42.0,51.0,44.0,46.0,59.0,247.0
20172,N,BOGOTA,UNICA,OFICIAL,M,64.0,68.0,58.0,64.0,58.0,311.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,75.0,65.0,71.0,65.0,68.0,339.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,56.0,35.0,43.0,55.0,47.0,229.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,85.0,69.0,55.0,66.0,66.0,328.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,85.0,69.0,55.0,66.0,66.0,328.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,42.0,43.0,46.0,46.0,45.0,224.0
20172,N,BOGOTA,TARDE,OFICIAL,M,69.0,69.0,58.0,61.0,58.0,310.0
20172,,BOGOTA,MAÑANA,NO OFICIAL,F,34.0,33.0,44.0,39.0,35.0,187.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,52.0,54.0,59.0,55.0,65.0,289.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,41.0,57.0,58.0,58.0,52.0,275.0
